Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1664959721.2810745,19557,1664959721,280339479,vive/reference,vive/tracker_1,1.2597889996401468,-1.739752481023427,-0.8439058656121126,0.0027448382682945666,-0.09151889794924813,0.9744178624001916,0.20524622317032462
1664959721.3009286,19558,1664959721,300314426,vive/reference,vive/tracker_1,1.2548267954802712,-1.7327173118775323,-0.841570892598301,0.004031595085739484,-0.0893341563350026,0.9753509899071875,0.20172513736614753
1664959721.3218555,19559,1664959721,320314169,vive/reference,vive/tracker_1,1.2500149356267138,-1.725726409286512,-0.8394664316474096,0.005727780214017514,-0.08610457955715653,0.9766077591742657,0.1969514602842088
1664959721.3411262,19560,1664959721,340341091,vive/reference,vive/tracker_1,1.2452163134563683,-1.718796460378218,-0.8369903802009382,0.005439272498507397,-0.08181719035074211,0.9777599038374547,0.19303201795410407
1664959721.360911,19561,1664959721,360346079,vive/reference,vive/tracker_1,1.2405036343134672,-1.7120826718432256,-0.8343575605040006,0.004273885821202028,-0.0799017731467886,0.9784348150695177,0.1904262504534373
1664959721.381666,19562,1664959721,380317450,vive/reference,vive/tracker_1,1.2353954211293396,-1.7047179662478507,-0.8312998479556288,0.0052221220245667055,-0.08029443340783596,0.979395879272326,0.1852259379458036
1664959721.4018025,19563,1664959721,400318623,vive/reference,vive/tracker_1,1.2306319376152814,-1.6980654111167661,-0.828486789677207,0.007067016362321307,-0.07663189822702254,0.9807938723793395,0.17922161945171755
1664959721.4210556,19564,1664959721,420321226,vive/reference,vive/tracker_1,1.2257538722698926,-1.6913338477842477,-0.825754126928655,0.006650914550890896,-0.07135255348319118,0.9817001633517004,0.17643350389146117
1664959721.4419055,19565,1664959721,440326214,vive/reference,vive/tracker_1,1.2206410489791704,-1.6841377773926736,-0.8228080407731901,0.005668893771042627,-0.07349642123420827,0.9821119408194628,0.1732677200344876
1664959721.461589,19566,1664959721,460330248,vive/reference,vive/tracker_1,1.215774640754718,-1.6769793967967237,-0.82034679252178,0.007854548058341959,-0.07728570206624173,0.9830847754230428,0.165858156627635
1664959721.4827962,19567,1664959721,480331421,vive/reference,vive/tracker_1,1.2108169815072898,-1.6698955503751833,-0.8180622656244925,0.009828745126726837,-0.07584170127457375,0.9842591831661617,0.15932588801346784
1664959721.500971,19568,1664959721,500313044,vive/reference,vive/tracker_1,1.2061779357983486,-1.6630817794610318,-0.8162999151763553,0.01063210257384653,-0.07120017966367258,0.9851384495645662,0.15594595956086357
1664959721.5218883,19569,1664959721,520362854,vive/reference,vive/tracker_1,1.2011773626338857,-1.6561024946073217,-0.8146021206135714,0.012572923596735591,-0.06809809288499226,0.9859571875545385,0.15196183863192858
1664959721.540974,19570,1664959721,540326595,vive/reference,vive/tracker_1,1.1965325954554504,-1.6495339747094322,-0.8128846098939688,0.015023375985532453,-0.06414064750921736,0.9868594682885119,0.14754010834392173
1664959721.561429,19571,1664959721,560316086,vive/reference,vive/tracker_1,1.1918737288236432,-1.6430356434839166,-0.8114017059624803,0.015620051694071074,-0.057634646758694744,0.9875806511995187,0.1453208285203211
1664959721.5810673,19572,1664959721,580372334,vive/reference,vive/tracker_1,1.1871145479678542,-1.6362939795719926,-0.8099641712541317,0.013954614654160702,-0.05073030287303476,0.9880717270647484,0.14472525087873261
1664959721.6010401,19573,1664959721,600317240,vive/reference,vive/tracker_1,1.1826663209743946,-1.6291883504014217,-0.809070238126675,0.012817301999903441,-0.04697892475102701,0.9888067475525821,0.14102951470286917
1664959721.6217458,19574,1664959721,620321751,vive/reference,vive/tracker_1,1.1781206923066134,-1.6215061503532342,-0.8085503866009927,0.013608093017502404,-0.04395117605222566,0.9899238214905501,0.13391547019135697
1664959721.6415179,19575,1664959721,640327692,vive/reference,vive/tracker_1,1.1734650241775737,-1.6140000750699346,-0.8078521463542385,0.014173012981572225,-0.04011762885040908,0.9908674680550366,0.1279484457802011
1664959721.6609008,19576,1664959721,660315990,vive/reference,vive/tracker_1,1.1688397053104376,-1.6062900358425525,-0.8076732108788429,0.013665106340683353,-0.03921713761312218,0.9915085111389939,0.1232297304128119
1664959721.6810622,19577,1664959721,680320501,vive/reference,vive/tracker_1,1.1642170474855698,-1.5985042012556208,-0.8078823000845923,0.014023885193563068,-0.039250675945594865,0.9922591859056565,0.11697809290856616
1664959721.7020228,19578,1664959721,700370550,vive/reference,vive/tracker_1,1.1599613569645404,-1.5910763741577512,-0.8082661750033706,0.014846194224857417,-0.036751225578672025,0.9931393799425647,0.11001154912930836
1664959721.72161,19579,1664959721,720318556,vive/reference,vive/tracker_1,1.1558576441347117,-1.5836665515081672,-0.8086542665947247,0.01627994802217736,-0.03232542076612151,0.9938802217617333,0.10436277165873598
1664959721.7417767,19580,1664959721,740340233,vive/reference,vive/tracker_1,1.151453911745951,-1.5759610527307564,-0.8090614481564162,0.018018903813085047,-0.02981892302087917,0.9944320218501546,0.09945119201895407
1664959721.7611194,19581,1664959721,760344744,vive/reference,vive/tracker_1,1.1469434861681431,-1.5685974991006302,-0.8092898874742298,0.018369587114279468,-0.028163705958942936,0.9950133336997931,0.09390008648186322
1664959721.7816029,19582,1664959721,780322075,vive/reference,vive/tracker_1,1.1429360662041528,-1.5616682944328988,-0.8094828471171192,0.017230724865369335,-0.025179259924266825,0.9955730652814826,0.08889768839944619
1664959721.8009613,19583,1664959721,800330639,vive/reference,vive/tracker_1,1.1386199919086517,-1.554708437425294,-0.8095360962225733,0.01603011135429422,-0.0223077607073969,0.9959432308704704,0.08568483362794993
1664959721.8218606,19584,1664959721,820334196,vive/reference,vive/tracker_1,1.134475246294192,-1.5478674579728895,-0.8097640500074457,0.016224915356680664,-0.021026361654857773,0.9963447704540211,0.08118599567834814
1664959721.8418376,19585,1664959721,840316296,vive/reference,vive/tracker_1,1.1302469017879415,-1.5410437197969071,-0.8099443602990888,0.01683044427202457,-0.01810807473955857,0.996889807793672,0.07482630086279886
1664959721.861285,19586,1664959721,860339165,vive/reference,vive/tracker_1,1.125673085207825,-1.534271673034389,-0.8095865547124119,0.016375988397206,-0.012428767906013605,0.9973161884744439,0.0702651761033633
1664959721.8813026,19587,1664959721,880348444,vive/reference,vive/tracker_1,1.1217005478637299,-1.5279262712918202,-0.8096687265905507,0.015093444369799952,-0.008499140704405342,0.9975599235343617,0.06762827413212703
1664959721.9012449,19588,1664959721,900331259,vive/reference,vive/tracker_1,1.1178813912001389,-1.5211728102903597,-0.8091989419765855,0.014428881032770291,-0.008518545621619189,0.9978575552318741,0.06323751896379023
1664959721.9210982,19589,1664959721,920323133,vive/reference,vive/tracker_1,1.1132897297735396,-1.5145426902591541,-0.8084936717127003,0.014984844921247575,-0.006810227704562188,0.9982186556045651,0.05734127861000807
1664959721.9409719,19590,1664959721,940326452,vive/reference,vive/tracker_1,1.1089145883491744,-1.507966682545489,-0.8082551053780693,0.014359169627733398,-0.0030269142967302987,0.9984968589662948,0.05280262354311363
1664959721.9613726,19591,1664959721,960337639,vive/reference,vive/tracker_1,1.1044020932338172,-1.5013275990123982,-0.8076876492983729,0.01316154000073419,0.00015901671100677917,0.998743488373579,0.048348937343098086
1664959721.9815512,19592,1664959721,980330229,vive/reference,vive/tracker_1,1.0996381998639457,-1.4947878952238225,-0.8070789338106703,0.012349044813137283,0.0004762253405367206,0.9989991990771826,0.04298001127668015
1664959722.0017583,19593,1664959722,325918,vive/reference,vive/tracker_1,1.094629055964626,-1.488524198818923,-0.8058025178777393,0.012084002702533014,-0.00010846777432377275,0.999243767619841,0.03694947987277723
1664959722.0210705,19594,1664959722,20337343,vive/reference,vive/tracker_1,1.0900300893537123,-1.482499631478206,-0.8045936237252342,0.010836829995669317,0.0019465517274216138,0.9994003526609223,0.032820023293271425
1664959722.0422513,19595,1664959722,40333271,vive/reference,vive/tracker_1,1.0851685765972177,-1.476310652220294,-0.8036502541642248,0.009703757094532028,0.0051050719755401375,0.9995409934318322,0.02823098987965944
1664959722.061939,19596,1664959722,60345173,vive/reference,vive/tracker_1,1.0801058562512613,-1.4703296824709984,-0.8026100466547317,0.009251445472704789,0.007556819030973577,0.9996820499319576,0.022193510096712665
1664959722.081911,19597,1664959722,80281973,vive/reference,vive/tracker_1,1.0748498299522595,-1.4642513260763534,-0.8012440001419514,0.00867806952241737,0.009621890535169167,0.9997922176553384,0.01571868245111223
1664959722.101106,19598,1664959722,100331545,vive/reference,vive/tracker_1,1.0694519331857435,-1.458275327187724,-0.7996898168633999,0.006641588796748421,0.01113880537375786,0.999859345253707,0.010609902176643524
1664959722.1222105,19599,1664959722,120352507,vive/reference,vive/tracker_1,1.06441111825417,-1.452896632959389,-0.7982315013908368,0.005942835149994552,0.012147695646390982,0.9998952832744163,0.005095177988447733
1664959722.1417196,19600,1664959722,140319824,vive/reference,vive/tracker_1,1.0590769392879527,-1.4474231689410721,-0.7965576798179579,0.005596818362721578,0.013585100038995282,0.9998915364221131,-0.0006724589114188162
1664959722.161619,19601,1664959722,160368204,vive/reference,vive/tracker_1,1.0537236782440391,-1.4423016740406867,-0.7945510838642682,0.003492583563544871,0.016434471393014516,0.999840623742307,-0.0059903988358662175
1664959722.182069,19602,1664959722,180347204,vive/reference,vive/tracker_1,1.0484896374538522,-1.437369906409556,-0.7923334700276765,0.0004984902795674429,0.019222028065943655,0.9997520628519933,-0.011203975913840328
1664959722.201041,19603,1664959722,200311184,vive/reference,vive/tracker_1,1.0433590713804104,-1.4326353547749755,-0.7901334516128014,-0.0016521565245476988,0.020302089094326348,0.9996634041991105,-0.016050059967178953
1664959722.2210836,19604,1664959722,220357656,vive/reference,vive/tracker_1,1.0380965153577344,-1.428029311979494,-0.7878554461708318,-0.0030216745431267955,0.02076161647517266,0.9995677812024805,-0.020580170705231604
1664959722.2426932,19605,1664959722,240305424,vive/reference,vive/tracker_1,1.0326748999994237,-1.4235371884993826,-0.7854146971177152,-0.0046730450172713656,0.02377852009790396,0.9993650893779756,-0.026106997472064436
1664959722.261659,19606,1664959722,260319948,vive/reference,vive/tracker_1,1.0271279109882563,-1.4192901990797937,-0.7829695214279444,-0.0066834679611166015,0.027411152212219264,0.9990676987204725,-0.03266719579238479
1664959722.2810228,19607,1664959722,280316353,vive/reference,vive/tracker_1,1.0214658910282506,-1.4152692154576292,-0.7804571958778523,-0.00853817312796426,0.028999580979438777,0.9987822570592351,-0.038981486741944765
1664959722.3020577,19608,1664959722,300331116,vive/reference,vive/tracker_1,1.0158324865691852,-1.4113510503281697,-0.7778767119631123,-0.010600830974968917,0.029427547313531283,0.9985050667640658,-0.04481831603401229
1664959722.321581,19609,1664959722,320330381,vive/reference,vive/tracker_1,1.0101065152384854,-1.4076314716854692,-0.775188562336822,-0.012179774481436118,0.031061290801020353,0.9981034289337728,-0.05172859740578119
1664959722.3409612,19610,1664959722,340324640,vive/reference,vive/tracker_1,1.004289796566132,-1.4041984698013492,-0.7726068026809627,-0.013893951307123314,0.03410312836474394,0.9976040733801312,-0.058561827176935435
1664959722.361808,19611,1664959722,360333204,vive/reference,vive/tracker_1,0.9983220864750837,-1.4007522389949123,-0.7699852163045482,-0.016045423199171516,0.03629422288012654,0.997112868609497,-0.06473503859995712
1664959722.3815117,19612,1664959722,380334616,vive/reference,vive/tracker_1,0.9923550530948122,-1.3974348828790362,-0.7672986537756343,-0.017461882016143182,0.03747589846571378,0.9965970272719189,-0.07130515260369678
